item_id,title,brand_id,shop_type,sku_id,sku_sales,sku_name,leafcat,attrs,剂型_attr,相关属性,qa,处理,完成情况
3689775628648841474,【2瓶特惠】CareMagic水蛭素纳豆激酶片剂澳洲原装进口小分子肽-Z,155794920,douyin,,95321.72,,31384,套餐详情:【1瓶】CareMagic水蛭素纳豆激酶纳豆片澳洲原装进口保健-Z-默认x2,片剂,{},1,,
3720522103213130027,【海员宋老师专属】无糖型南极磷虾油 海洋磷脂和Omega-3 63g/盒HYA,141449410,douyin,,55423.86,,28342,保质期:2年||产地:中国大陆||净含量:63g||生产企业名称:安徽感喻药业有限公司||品牌:润龄堂||食品生产许可证编号:SC10734122230595||贮存条件:常温||包装方式:包装,,{},1,,
3545956701201113165,Plameca【健康心血管】天然西班牙红曲米胶囊肝脏胆固醇血脂健康,36723,douyin,,59945.94,,31320,保质期:25-36个月||食用方法/使用方法:每天一粒，饭后配水服用||温馨提示:本品不可替代药品||品牌:Plameca||适用人群:通用||产品剂型:胶囊||注意事项:本品不可替代药品||原产地:西班牙,胶囊,{'产品剂型': '胶囊'},1,,
3687126969612370166,【品牌】氧气能量五合一精氨酸瓜氨酸甘氨酸硼胶囊60粒/瓶,142332070,douyin,,3211416,,31330,套餐详情:【双“氨”搭配 】氧气能量五合一精氨酸瓜氨酸科学健康胶囊60粒/瓶-默认x1,胶囊,{},1,,
3592182554536618743,膳力多果蔬复合酶片综合果蔬粉60粒送益生菌,48269,douyin,,2683951.5,,31313,保质期:24月||是否临期:否||产品名称:果蔬复合酶片||适用性别:通用||产地:中国大陆||品牌:膳力多||生产企业名称:武汉华源晨泰健康生物科技有限公司||计价单位:瓶||产品剂型:颗粒||商品条形码:6976117960084||食品生产许可证编号:sc10642011204357,颗粒/冲剂,{'产品剂型': '颗粒'},1,,
3722066058140582126,Nature wise维生素k2大瓶装高效吸收180粒mk4+mk7 双重补充,53046530,douyin,,31370.76,,31341,保质期:25-36个月||食用方法/使用方法:口服，一天一粒||温馨提示:本品不可替代药品||产品名称:维生素k2 180粒||品牌:naturewise/自然薇萃||适用人群:通用||产品剂型:胶囊||注意事项:无||原产地:美国,胶囊,{'产品剂型': '胶囊'},1,,
3707321716725383403,【棕色脂肪】呜咔实验室二元一菌益生菌科学管理激活BAT益生元ZB,135721137,douyin,,59729228,,31270,保质期:24月||是否临期:否||产品名称:呜咔实验室二次元益生菌||适用性别:通用||产地:中国大陆||品牌:呜咔实验室||生产企业名称:江苏新申奥生物科技有限公司||适用人群:成人||计价单位:盒||食用提示:益生元不建议：婴幼儿，孕妇，哺乳期，14岁以下人群服用。（三高、糖友患者建议遵医嘱）||食品生产许可证编号:SC10632028100205||规格（粒/袋/ml/g）:2g*28+10g*28+10g*28,,{},1,,
3703124155101741161,益生元西梅饮添加65%浓缩膳食纤维果汁果蔬夏日畅饮西梅汁送礼盒,2492175,douyin,,123917,,31268,保质期:18月||是否临期:否||产品名称:益生元西梅饮||适用性别:通用||产地:中国大陆||品牌:miuoh/喵尚||生产企业名称:橡果美健实业投资股份有限公司||用法:拆袋饮用||适用人群:成人||计价单位:盒||食用提示:饮用||产品剂型:口服液||食品生产许可证编号:SC10644129806531||规格（粒/袋/ml/g）:100mL/袋 8袋/盒,口服液,{'产品剂型': '口服液'},1,,
3683482359157621235,【年货节大牌钜惠】SUSUMOTOYA第三代金钻脑活素500mg*120粒,19737296,douyin,,841223.44,,31363,套餐详情:【全新升级 第三代】SUSUMOTOYA金钻脑活素500mg*120粒-默认x2,,{},1,,
3727059672792957395,Bloomage Health动能逆龄丸30粒/瓶年轻高纯度麦角硫因50mg亚精胺,41859,douyin,,2079531.2,,31407,套餐详情:Bloomage Health动能丸30粒/瓶年轻高纯度麦角硫因50mg亚精胺口服-单盒x1,,{},0,丸->丸剂,1
3727934978395341049,蔓越莓FD冻干粉 4克*15瓶/盒,46080906,douyin,,108602,,31295,保质期:18月||产地:中国大陆||产品名称:蔓越莓||品牌:垦荒小花||生产企业名称:黑龙江省新曙光刺五加生物科技开发有限公司迎春分公司||食品生产许可证编号:SC10623038101969||规格（粒/袋/ml/g）:4克*15瓶,粉剂,{},1,,
3627078697519054537,GNC健安喜 七合一加钙氨糖软骨素运动关节片160片/瓶 ofdb,18614,douyin,,5394.62,,31412,保质期:25-36个月||食用方法/使用方法:早晚各1次，一次2粒||温馨提示:本品不可替代药品||产品名称:GNC健安喜七合一加钙优骨力氨糖软骨素运动关节片160片/瓶||品牌:GNC/健安喜||适用人群:成人||产品剂型:片剂||注意事项:本品不可替代药品||原产地:美国,片剂,{'产品剂型': '片剂'},1,,
3657238024384811184,【到手2瓶】美国Nature's Key褪黑素小金瓶晚安片3mg/粒60粒,137553347,douyin,,29690.7,,31348,套餐详情:Nature'sKey褪黑素小金瓶晚安片3mg/粒升级版(添加B6)60粒-默认x2,,{},0,加入素,1
3612945246901678980,宫诺碱益多碱性食品进口海藻钙孕物营养前备什么期间吃的用小苏打,31676,douyin,,28254.9,,31310,保质期:24月||是否临期:否||产品名称:宫诺碱益多||适用性别:通用||产地:中国大陆||品牌:宫诺||生产企业名称:威海南波湾生物技术有限公司||用法:每天1次，每次3片，饭后温水吞服||适用人群:成人||计价单位:瓶||食用提示:本品每日食用量不超过20片||在华注册码:6949969172363||产品剂型:片剂||商品条形码:6949969172363||食品生产许可证编号:SC12737100200302||规格（粒/袋/ml/g）:500mg*30片,片剂,{'产品剂型': '片剂'},1,,
3522239994200782914,Enervite澳乐维他天然肉桂精华铬元素硫辛酸血糖平衡片90粒/瓶,139378606,douyin,,96146.7,,31385,保质期:25-36个月||食用方法/使用方法:每日1-3粒||温馨提示:本品不可替代药品||品牌:EnerVite/澳乐维他||生产企业名称:Health Spring Australia Pty Ltd.||净含量:90粒||适用人群:通用||产品剂型:胶囊||注意事项:本品不可替代药品||原产地:澳大利亚,胶囊,{'产品剂型': '胶囊'},1,,
3644678838186837756,【靶向眼底素】BECHI视网膜精粹 专利靶向飞蚊重影叶黄素 眼底素,27245,douyin,,36179.44,,31368,套餐详情:BECHI专利美瞳亮眼丸 30粒/瓶-默认x3,,{},0,丸->丸剂,1
3728685244925214814,【春节送礼】Swisse柠檬酸钙维D钙迷你片300片/瓶-zYY,51206,douyin,,1792282.8,,31328,套餐详情:【达播FB】SWISSE斯维诗柠檬酸钙维D迷你片娘娘钙300片/瓶进口-默认x3、【达播FB】Swisse/斯维诗儿童DHA深海鱼油胶囊60粒/瓶-默认x1,片剂,{},1,,
