item_id,title,brand_id,shop_type,sku_id,sku_sales,sku_name,leafcat,attrs,剂型_attr,qa,相关属性,cat1,sold,sales,price,处理
3627078697519054537,GNC健安喜 七合一加钙氨糖软骨素运动关节片160片/瓶 ofdb,18614,douyin,,5394.62,,31412,保质期:25-36个月||食用方法/使用方法:早晚各1次，一次2粒||温馨提示:本品不可替代药品||产品名称:GNC健安喜七合一加钙优骨力氨糖软骨素运动关节片160片/瓶||品牌:GNC/健安喜||适用人群:成人||产品剂型:片剂||注意事项:本品不可替代药品||原产地:美国,片剂,1,{'产品剂型': '片剂'},,,,,
3724656548404920662,【爆款新品红魔王】徐楠楠苏莎牛胶原蛋白三肽,155745065,douyin,,10772983,,31319,保质期:2年||产品名称:苏莎牛弹性蛋白鲑鱼鼻鳕鱼胶原三肽固体饮料||产地:中国大陆||品牌:苏莎||生产企业名称:馨辰生物（广东）有限公司||食品生产许可证编号:SC10644190015340||规格（粒/袋/ml/g）:1盒*7包,,1,{},,,,,
3726087328670810389,DR.ROSER德国天然水蛭素血净通血管清道夫呵护心脑管健康60粒/瓶,155815586,douyin,,110339.46,,31384,保质期:25-36个月||食用方法/使用方法:40岁以下每日1次，每次1粒。40岁以上每日1次，每次2粒。||温馨提示:本品不可替代药品||产品名称:水蛭素||品牌:DR.ROSER||适用人群:通用||产品剂型:胶囊||注意事项:婴幼儿及孕妇 禁用，对产品成分过敏者慎用||原产地:美国,胶囊,1,{'产品剂型': '胶囊'},,,,,
3658216360355477315,【澳洲进口】AOJU小黑瓶袋鼠生蚝胶囊90粒/瓶,155751750,douyin,,139159.67,,31397,套餐详情:【澳洲进口】AOJU小黑瓶袋鼠生蚝胶囊90粒/瓶-一瓶【体验套餐】x2,胶囊,1,{},,,,,
3725576444542321084,【白云山】升级版氨基丁酸赖氨酸牦牛复合钙儿童全面营养 CS,32346,douyin,,5791190,,31297,保质期:24月||营养成分:叶黄素酯||产地:中国大陆||产品名称:γ氨基丁酸赖氨酸牦牛复合钙||品牌:白云山||生产企业名称:山东凝善堂生物科技有限公司||适用人群:儿童||食品生产许可证编号:SC13037150100941||规格（粒/袋/ml/g）:0.6gX60粒,,1,{},,,,,
3607528189099925814,诺特兰德新一代b族维生素咀嚼片复配好营养8大B族含量升级72粒/瓶,22044,douyin,,16076628,,31273,生产企业名称:山东捷晶生物科技有限公司||产地:中国大陆||品牌:诺特兰德||食品生产许可证编号:SC11337012600809||产品名称:维生素B族,咀嚼片片剂,1,{},,,,,
3608267083705643175,Vita Green/维特健灵小黄条阻断餐前截击14包/盒 （DRTY/nbc）,155697021,douyin,,2387589.5,,31392,套餐详情:Vita Green/维特健灵 餐前截击14包/盒  新-默认x1,,1,{},,,,,
3724787147480367437,【亚亚家专属】野口医学研究所纳豆激酶4000FU 120粒/瓶,31839,douyin,,303395.75,,31384,套餐详情:【专场】纳豆激酶4000fu120粒/瓶-默认x3、【活动】机能大豆异黄酮大豆提取物 90粒/瓶-默认x2,,1,{},,,,,
3629819359142229722,saseco/三生蔻荷兰进口菊粉水溶性膳食纤维300g/罐益生元膳食纤维,49527495,douyin,,93147,,31305,保质期:2年||是否临期:否||产地:中国大陆||适用性别:通用||产品名称:荷兰菊粉水溶性膳食纤维益生元||品牌:saseco/三生蔻||生产企业名称:珠海中食月太健康科技有限公司||产品剂型:粉剂||食品生产许可证编号:SC10644041200145||规格（粒/袋/ml/g）:300g/罐,粉剂,1,{'产品剂型': '粉剂'},,,,,
3726521820522873165,Biowell美人果第五代红宝石水基羊胎素60粒/瓶BL001LL,6755133,douyin,,742959.6,,31386,套餐详情:Biowell美人果第五代红宝石水基羊胎素60粒/瓶-默认x3,,1,{},,,,,
3723144996984062187,【星光村小飞T】OXYENERGY氧气能量五合一精氨酸瓜氨酸胶囊60粒/瓶,142332070,douyin,,1444491.5,,31330,套餐详情:【小飞达人 】氧气能量五合一精氨酸胶囊60粒/瓶瓜氨酸科学健康男士-默认x1,胶囊,1,{},,,,,
3720522103213130027,【海员宋老师专属】无糖型南极磷虾油 海洋磷脂和Omega-3 63g/盒HYA,141449410,douyin,,55423.86,,28342,保质期:2年||产地:中国大陆||净含量:63g||生产企业名称:安徽感喻药业有限公司||品牌:润龄堂||食品生产许可证编号:SC10734122230595||贮存条件:常温||包装方式:包装,,1,{},,,,,
3560253455408996989,万益蓝WonderLab 体重管理成人B420即食益生菌10瓶装乳双歧杆菌,155760619,douyin,,89241.75,,31268,保质期:18月||产地:中国大陆||适用性别:通用||产品名称:体重管理益生菌||品牌:WONDERLAB/万益蓝||生产企业名称:深圳保时健生物工程有限公司||用法:午饭饭后半小时1-2颗||计价单位:盒||食用提示:开盖即食||产品剂型:粉剂||食品生产许可证编号:SC12744030701096||规格（粒/袋/ml/g）:2g*10瓶/盒,粉剂,1,{'产品剂型': '粉剂'},,,,,
3607721012990497076,CREATE HEALTH/一源清卉【应酬常备】杨博士自研 葛玉片 40片/瓶,35325,douyin,,93251.43,,31291,保质期:24月||产地:中国大陆||产品名称:葛玉片||品牌:CREATE HEALTH/一源清卉||生产企业名称:中科利君股份有限公司||计价单位:瓶||食品生产许可证编号:SC10613043400584||规格（粒/袋/ml/g）:1.0g*40片,,0,{},,,,,
3726311747162865684,Unichi玫瑰小鱼胶囊90粒/瓶 HBZS,45113,douyin,,478424.38,,31376,套餐详情:璐姐爱用Unichi玫瑰小鱼胶囊90粒/瓶内服外用美肌必备-默认x1,胶囊,1,{},,,,,
3719946468283515346,Swisse澳洲进口高浓度玛卡片玛咖片,13541118,douyin,,9667.02,,31383,保质期:25-36个月||食用方法/使用方法:每日1粒||温馨提示:本品不可替代药品||品牌:SWISSE/斯维诗||适用人群:成人||产品剂型:片剂||注意事项:须阴凉干燥处常温储存，避免阳光直射||原产地:澳大利亚,片剂,1,{'产品剂型': '片剂'},,,,,
3617981069355277315,【液体钙镁锌-老爸抽检】GNC健安喜儿童液体钙镁锌 30袋/盒*3 ZL,18614,douyin,,713622.7,,31332,套餐详情:【店播新链接】GNC健安喜儿童液体钙镁锌30袋/盒-默认x3,,1,{},,,,,
3726507266942304626,【晚安超人】Unice可溶性微晶褪黑素晚安贴睡眠成人1.25mg/贴,115275913,douyin,,75862.32,,31348,保质期:1095天||产地:中国大陆||是否属于消字号:否||产品名称:褪黑素晚安贴||生产企业名称:优微(珠海)生物科技有限公司企业||规格:9片/盒||适用对象:成人,,0,{},,,,,贴 改为 透皮贴剂
3586428548010913738,【韩国进口】地中海代餐奶昔超模轻断食膳食营养饱腹700g/盒新年,54009,douyin,,94149.12,,31992,保质期:1年||商品条形码:8809608750278||产地:韩国||品牌:POSITIVEHOTEL||产品名称:地中海代餐,,1,{},,,,,
3724393808033612199,【白云山 买2送1】 白白片-白番茄虾青素烟酰胺维生素 CS-1,32346,douyin,,3785202,,31280,保质期:24月||产品名称:白番茄虾青素烟酰胺维生素片||产地:中国大陆||品牌:白云山||生产企业名称:山东凝善堂生物科技有限公司||食品生产许可证编号:SC13037150100941||规格（粒/袋/ml/g）:1g*30粒,片剂,1,{},,,,,
3729239050834542963,【益宝归】A-M3骨胶原小分子液体钙DHA藻油牛骨胶原蛋白 试吃一盒,60179332,douyin,,451148.16,,31288,保质期:18月||是否临期:否||产地:中国大陆||产品名称:骨胶原小分子液体钙||品牌:益宝归||生产企业名称:安徽药顺药业有限公司||食品生产许可证编号:SC10634122230636,,1,{},,,,,
3671789417992945680,【专享】fiboo元气铁高含量有机铁女性无蔗糖孕妇铁元素软糖补剂A,45895287,douyin,,10950438,,31288,保质期:18月||是否临期:否||产地:中国大陆||产品名称:FIBOO富铁软糖||品牌:FIBOO/她练||生产企业名称:仙乐健康科技（安徽）有限公司||食品生产许可证编号:SC11334059210015,软糖,1,{},,,,,
3617047970563899613,【深海脑黄金】NaturElan德国呐兔 学霸鱼油布丁儿童双A配方DHA D,55032,douyin,,109585.7,,31324,套餐详情:【儿童鱼油】德国NaturElan吶兔 学霸鱼油小布丁2.0升级版32粒DHA-默认x1,,1,{},,,,,
3726298662469501029,【北北重点推荐】KOOYO 植萃纤体腿腿丸绿魔瓶 60粒/瓶桑叶苦瓜GLOW,12750390,douyin,,28591.53,,31385,套餐详情:KOOYO 植萃燃脂绿魔瓶 60粒/瓶 桑叶苦瓜 藤黄果提取物GLOW-1瓶x1,丸剂,1,{},,,,,
3684730420676657298,诺特兰德钙镁维D鲨鱼软骨粉牦牛骨咀嚼片营养  60粒,22044,douyin,,225416.95,,31276,保质期:24月||是否临期:否||产地:中国大陆||适用性别:通用||产品名称:钙镁维D鲨鱼软骨粉牦牛骨咀嚼片||品牌:诺特兰德||生产企业名称:山东捷晶生物科技有限公司||食品生产许可证编号:SC11337012600809||规格（粒/袋/ml/g）:1.5g*60粒,咀嚼片片剂粉剂,0,{},,,,,粉 加上not 片
3728343953913807260,Biowell美人果第五代红宝石水基羊胎素60粒/瓶*3/6,6755133,douyin,,151315.2,,31386,套餐详情:Biowell美人果第五代红宝石水基羊胎素60粒/瓶-默认x3,,1,{},,,,,
3729277804274123175,[同仁堂]梅花鹿心肌肽 A11A[试吃两盒]  其他方便食品,155811115,douyin,,569715.9,,31303,保质期:24月||是否临期:否||产地:中国大陆||适用性别:通用||产品名称:梅花鹿心肌肽||品牌:鲜享燕窝||生产企业名称:安徽康能量药业有限公司||食品生产许可证编号:SC10634122231557||规格（粒/袋/ml/g）:3g/袋*10袋,,1,{},,,,,
3716990553536200758,【新升级33种菌株】多维钙铁锌益生菌【1盒+补贴5盒3月量】白云敬修堂,10400,douyin,,8244391,,31314,保质期:24月||是否临期:否||产地:中国大陆||适用性别:通用||产品名称:广州白云敬修堂多维钙铁锌益生菌||品牌:敬修堂||生产企业名称:安徽百盛药业有限公司||适用人群:三岁以上都可以||计价单位:盒||产品剂型:冲剂||食品生产许可证编号:sc10634122205790||规格（粒/袋/ml/g）:30g,颗粒/冲剂,1,{'产品剂型': '冲剂'},,,,,
