item_id,title,brand_id,shop_type,sku_id,sku_sales,sku_name,leafcat,attrs,剂型_attr,相关属性,cat1,sold,sales,price,qa,是否解决
3672652068549689681,【大餐伴侣】司缪阿玛尔非柠檬纤维酵素粉冲饮清爽食用能量便携营养,39031,douyin,,3046549.8,,31268,保质期:12月||是否临期:否||产地:中国大陆||适用性别:通用||产品名称:酵素纤维粉||品牌:Smeal||生产企业名称:河南百芝堂生物科技有限公司||食品生产许可证编号:SC11341018400750||规格（粒/袋/ml/g）:2g*7条,口服液粉剂,{},,,,,1,
3711789936559653162,【组合装】氧气能量胃舒小黄粉谷氨酰胺150g/罐红枣桂圆味,142332070,douyin,,35755.5,,31352,套餐详情:【实力抚胃】氧气能量胃舒小黄粉谷氨酰胺红枣桂圆味150g/罐-默认x1,粉剂,{},,,,,1,
3629819359142229722,saseco/三生蔻荷兰进口菊粉水溶性膳食纤维300g/罐益生元膳食纤维,49527495,douyin,,93147,,31305,保质期:2年||是否临期:否||产地:中国大陆||适用性别:通用||产品名称:荷兰菊粉水溶性膳食纤维益生元||品牌:saseco/三生蔻||生产企业名称:珠海中食月太健康科技有限公司||产品剂型:粉剂||食品生产许可证编号:SC10644041200145||规格（粒/袋/ml/g）:300g/罐,粉剂,{'产品剂型': '粉剂'},,,,,1,
3649451330734536802,北京同仁堂内廷上用金银花罗汉果梨膏糖咽喉干痒咳嗽润喉糖200g,27698,douyin,,5396.38,,31317,保质期:12月||是否临期:否||产品名称:梨膏糖||适用性别:通用||产地:中国大陆||品牌:内廷上用||生产企业名称:安徽銮轩健康产业有限公司||用法:口服含化 泡水饮用||适用人群:不限||计价单位:罐||商品条形码:6973128467168||食品生产许可证编号:SC10634161108716||规格（粒/袋/ml/g）:200g,,{},,,,,0,1
3725045676762071362,【TZ】OXYENERGY嗨吃拜拜丸6合1植萃促燃 30粒/瓶,142332070,douyin,,611133,,31411,套餐详情:【2.0Pro反脂三部曲】氧气能量嗨吃拜拜丸6合1植萃促燃 30粒/瓶-默认x3,丸剂,{},,,,,1,
3698843526461784383,【年货节-40+营养包】GNC女士男士40+营养包 专业搭配30袋/盒 dczb,18614,douyin,,1128207.8,,28335,套餐详情:【单盒装】GNC女士营养包 专业搭配多重补充30袋/盒gw-30+抗初老x4、【官方直播】GNC健安喜硒元素200微克90片/瓶-默认x1,,{},,,,,1,
3642661534653618554,【h6反重力胶囊】西班牙概念180HGH 内源补充提拉紧致 60粒/瓶,155640547,douyin,,11810270,,28343,套餐详情:概念180/180 the concept 姜黄素胶囊e7 3.28g/盒-默认x6、【西班牙概念180*h6】HGH反重力胶囊抗皱纹紧致提拉 60粒/瓶抗老-默认x3,胶囊,{},,,,,1,
3670970749973299294,【新春钜惠】小分子肽蛋白粉Y9动植物双蛋白特殊膳食营养补品,155796037,douyin,,134213.88,,31284,保质期:24月||产地:中国大陆||产品名称:小分子肽蛋白粉||品牌:森云生||生产企业名称:安徽领克药业有限公司||食品生产许可证编号:SC10634122230677||规格（粒/袋/ml/g）:20g*20袋,粉剂,{},,,,,1,
3620572710930920447,红凯撒红曲米鱼油辅酶q10 90粒/盒DB,142329083,douyin,,259001.28,,31396,保质期:25-36个月||食用方法/使用方法:每日2-3粒||温馨提示:本品不可替代药品||产品名称:红凯撒红曲米鱼油||品牌:omegor/金凯撒||适用人群:成人||产品剂型:颗粒||注意事项:干燥阴凉处||原产地:意大利,颗粒/冲剂,{'产品剂型': '颗粒'},,,,,1,
3732670250806804642,邦硬坦克6号联名新西兰进口人参牡蛎肽5瓶试吃一瓶不满意退全款E1,111016205,douyin,,106986.8,,31309,保质期:24月||是否临期:否||产地:中国大陆||产品名称:人参牡蛎肽||品牌:百祺堂||生产企业名称:亳州本草御堂健康产业发展有限公司||食品生产许可证编号:SC10634166031723,,{},,,,,1,
3676830724029284382,芊形菊粉益生元可溶性膳食纤维粉300克/桶  水溶性进口原粉,18630,douyin,,107205.36,,31307,保质期:2年||是否临期:否||产品名称:菊粉||适用性别:通用||产地:中国大陆||品牌:芊形||生产企业名称:永安康健药业（武汉）有限公司||计价单位:桶||产品剂型:粉剂||生产日期:2024-03-01 2024-03-31||食品生产许可证编号:SC10642011801427||规格（粒/袋/ml/g）:300g,粉剂,{'产品剂型': '粉剂'},,,,,1,
3725029323548262805,【大饼哥推荐】新西兰goodhealth进口生蚝锌片胶囊60粒/瓶DB,26966245,douyin,,2218106.2,,31330,套餐详情:【生蚝胶囊】新西兰goodhealth进口生蚝锌片胶囊60粒/瓶t-默认x3,胶囊,{},,,,,1,
3712030779015036985,【分离品质乳清】Performix分离浓缩矩阵乳清蛋白粉2磅原装进口,21294,douyin,,167436.28,,31349,套餐详情:Performix美国进口分离浓缩乳清蛋白质粉whey矩阵蛋白增肌塑形2磅-香草味x1,粉剂,{},,,,,1,
3687306466856927328,XYMOGEN健式L-谷氨酰胺粉肠胃调理儿童成人肠漏IBS肠易激护肠道,155753181,douyin,,321100,,31352,保质期:13-24个月||食用方法/使用方法:每天1次，每次1勺(4g)，将粉与清水混合调配，优选空腹服用||温馨提示:本品不可替代药品||品牌:XYMOGEN||适用人群:通用||产品剂型:粉剂||注意事项:注意事项:本品为膳食营养补充剂，不能替代药物||原产地:美国,粉剂,{'产品剂型': '粉剂'},,,,,1,
3545947043832933172,抹茶青汁.抹茶益生元青汁 独立包装，好喝健康3g*30支/盒,139421317,douyin,,3276.24,,33971,保质期:1年||产地:中国大陆||产品名称:抹茶青汁||品牌:初透||生产企业名称:金华翡翠茶业有限公司||食品生产许可证编号:SC10633070302114,茶,{},,,,,0,0
3598439872895009821,naturewise活性维生素D3阳光瓶软胶囊维他命儿童成人360粒/瓶,53046530,douyin,,2191992,,31338,保质期:25-36个月||食用方法/使用方法:每天一粒||温馨提示:本品不可替代药品||产品名称:NW 维生素D3||品牌:naturewise/自然薇萃||适用人群:成人||产品剂型:胶囊||注意事项:无||原产地:美国,胶囊,{'产品剂型': '胶囊'},,,,,1,
3636894428922285548,DoctorsBest/多特倍斯锯棕榈高含量软胶囊320mg*60粒,38217,douyin,,8007.12,,31373,保质期:13-24个月||食用方法/使用方法:每日1粒，餐后服用||温馨提示:本品不可替代药品||品牌:DoctorsBest/多特倍斯||适用人群:成人||产品剂型:胶囊||注意事项:本品为膳食补充剂，不可替代药品||原产地:美国,胶囊,{'产品剂型': '胶囊'},,,,,1,
3718881058536685702,能量卫士γ-氨基丁酸综合维生素矿物质片 赖氨酸儿童青少年5瓶装x,11215801,douyin,,2615195,,34149,保质期:2年||是否临期:否||产地:中国大陆||适用性别:通用||产品名称:综合维生素矿物质片||品牌:能量卫士||生产企业名称:安徽合天然制药有限公司||适用人群:儿童||计价单位:瓶||产品剂型:片剂||生产日期:2024-10-01 2024-10-15||食品生产许可证编号:SC13034122231143||规格（粒/袋/ml/g）:60粒/瓶,片剂,{'产品剂型': '片剂'},,,,,1,
3729245501917364311,JANEJI LABO简际黄芪桃胶玫瑰营养纤维饱感饮,136981183,douyin,,240847.73,,31304,保质期:18月||是否临期:否||产品名称:简际黄芪桃胶玫瑰营养纤维饱感饮||适用性别:通用||产地:中国大陆||品牌:JANEJI LABO||生产企业名称:武汉森澜生物科技有限公司||适用人群:成人||计价单位:袋||成分:黄芪红枣黑松露雪莲提取物党参提取物紫灵芝提取物||产品剂型:冲剂||食品生产许可证编号:SC10642011400171||规格（粒/袋/ml/g）:8g*袋,颗粒/冲剂,{'产品剂型': '冲剂'},,,,,1,
