item_id,title,brand_id,shop_type,sku_id,sku_sales,sku_name,leafcat,attrs,剂型_attr,相关属性,cat1,sold,sales,price,qa
3670970749973299294,【新春钜惠】小分子肽蛋白粉Y9动植物双蛋白特殊膳食营养补品,155796037,douyin,,134213.88,,31284,保质期:24月||产地:中国大陆||产品名称:小分子肽蛋白粉||品牌:森云生||生产企业名称:安徽领克药业有限公司||食品生产许可证编号:SC10634122230677||规格（粒/袋/ml/g）:20g*20袋,粉剂,{},,,,,1
3732670250806804642,邦硬坦克6号联名新西兰进口人参牡蛎肽5瓶试吃一瓶不满意退全款E1,111016205,douyin,,106986.8,,31309,保质期:24月||是否临期:否||产地:中国大陆||产品名称:人参牡蛎肽||品牌:百祺堂||生产企业名称:亳州本草御堂健康产业发展有限公司||食品生产许可证编号:SC10634166031723,,{},,,,,1
3728932261387698492,WonderLa焕活女士多维片复合维生素烟酰胺接骨木莓B族营养包女性,20645,douyin,,10683251,,31343,套餐详情:WonderLab女士多维片复合维生素烟酰胺接骨木莓营养营养包-默认x3、WONDERLAB叶黄素复合软胶囊明目护眼睛防蓝光抗氧化玉米黄质官方-默认x1,片剂,{},,,,,1
3717358108281012788,【新春大餐拍档】断货王VIERRA惟爱论S133超模轻断食西梅果冻3/9盒,5699662,douyin,,174768.3,,31268,保质期:18月||是否临期:否||产品名称:惟爱论新纤盈西梅果冻||适用性别:通用||产地:中国大陆||品牌:VIERRA||生产企业名称:纯元健康科技（广东）有限公司||计价单位:盒||产品剂型:果冻型||食品生产许可证编号:SC11344011501302||规格（粒/袋/ml/g）:20g*7条,果冻型,{'产品剂型': '果冻型'},,,,,1
3579200156547050764,【老夏专属】韩国进口PH地中海代餐粉代餐奶昔营养轻食餐,54009,douyin,,599630.8,,31992,保质期:1年||商品条形码:8809608750407||产地:韩国||品牌:POSITIVEHOTEL||产品名称:地中海代餐,粉剂,{},,,,,1
3686251672247599116,MEDOX花青素年轻态小黑丸野生越橘提取物挪威进口10盒装,131363232,douyin,,500030.6,,31364,套餐详情:挪威MEDOX越橘花青素胶囊-默认x10,丸剂,{},,,,,1
3536504118006911954,璐姐爱用Unichi玫瑰小鱼胶囊90粒/瓶内服外用美肌必备,45113,douyin,,364217.22,,31376,保质期:25-36个月||食用方法/使用方法:温水吞服||温馨提示:本品不可替代药品||品牌:Unichi||适用人群:成人||产品剂型:胶囊||注意事项:玫瑰精油浓度较高，不建议咬破食用||原产地:澳大利亚,胶囊,{'产品剂型': '胶囊'},,,,,1
3701828767145132461,内廷上用木瓜葛根汁胶原蛋白固体饮料自信女神专属营养品0脂肪,27698,douyin,,1784.16,,31299,保质期:18月||产地:中国大陆||产品名称:木瓜葛根胶原蛋白固体饮料||品牌:内廷上用||生产企业名称:芊荷（安徽）健康产业发展有限公司||食品生产许可证编号:SC11434161108548||规格（粒/袋/ml/g）:12g*10包,固体饮料,{},,,,,1
3562072634080546282,Bmark鹿胎素卵巢保养胶囊女性补热呵护调理60粒/盒,66608544,douyin,,82168.7,,31387,保质期:25-36个月||食用方法/使用方法:饭后1粒，1次1粒，每天不超过2粒||温馨提示:本品不可替代药品||品牌:Bmark||适用人群:成人||产品剂型:胶囊||注意事项:孕妇哺乳期类人群建议咨询医生后服用,胶囊,{'产品剂型': '胶囊'},,,,,1
3692892404836335666,多美森洁妮贝少女宝口服胶原蛋白粉女性产后盆底保养护理保养,136515341,douyin,,37219.6,,31353,套餐详情:DermoXEN洁妮贝盆底修复宝口服胶原蛋白粉女性产后护理保养-默认x3,粉剂,{},,,,,1
